player_id,name,height,weight,team,position,team_id
1630173,Precious Achiuwa,6-8,243.0,NYK,Forward,1610612752.0
203500,Steven Adams,6-11,265.0,HOU,Center,1610612745.0
1628389,Bam Adebayo,6-9,255.0,MIA,Center-Forward,1610612748.0
1630534,Ochai Agbaji,6-5,215.0,TOR,Guard,1610612761.0
1630583,Santi Aldama,7-0,215.0,MEM,Forward-Center,1610612763.0
1641725,Trey Alexander,6-4,185.0,NOP,Guard,1610612740.0
1629638,Nickeil Alexander-Walker,6-5,205.0,ATL,Guard,1610612737.0
1628960,Grayson Allen,6-4,198.0,PHX,Guard,1610612756.0
1628386,Jarrett Allen,6-9,243.0,CLE,Center,1610612739.0
1630631,Jose Alvarado,6-0,179.0,NOP,Guard,1610612740.0
203937,Kyle Anderson,6-9,230.0,UTA,Forward-Guard,1610612762.0
203507,Giannis Antetokounmpo,6-11,243.0,MIL,Forward,1610612749.0
1630175,Cole Anthony,6-2,185.0,MIL,Guard,1610612749.0
1628384,OG Anunoby,6-7,240.0,NYK,Forward-Guard,1610612752.0
1642379,Taran Armstrong,6-5,190.0,GSW,Guard,1610612744.0
1630166,Deni Avdija,6-9,240.0,POR,Forward,1610612757.0
1629028,Deandre Ayton,7-0,252.0,LAL,Center,1610612747.0
1630542,Marcus Bagley,6-6,217.0,,Forward,
1628963,Marvin Bagley III,6-10,235.0,WAS,Forward,1610612764.0
1631116,Patrick Baldwin Jr.,6-9,220.0,LAC,Forward,1610612746.0
1630163,LaMelo Ball,6-7,180.0,CHA,Guard,1610612766.0
1628366,Lonzo Ball,6-6,190.0,CLE,Guard,1610612739.0
1628964,Mo Bamba,7-0,231.0,,Center,
1631094,Paolo Banchero,6-10,250.0,ORL,Forward,1610612753.0
1630217,Desmond Bane,6-5,215.0,ORL,Guard,1610612753.0
1630625,Dalano Banton,6-8,203.0,POR,Forward,1610612757.0
1631230,Dominick Barlow,6-8,215.0,PHI,Forward,1610612755.0
203084,Harrison Barnes,6-8,225.0,SAS,Forward,1610612759.0
1630567,Scottie Barnes,6-7,237.0,TOR,Forward-Guard,1610612761.0
1629628,RJ Barrett,6-6,214.0,TOR,Forward-Guard,1610612761.0
1629646,Charles Bassey,6-10,230.0,SAS,Center-Forward,1610612759.0
1641734,Emoni Bates,6-8,202.0,CLE,Forward,1610612739.0
1642419,Jamison Battle,6-7,220.0,TOR,Forward,1610612761.0
201587,Nicolas Batum,6-8,230.0,LAC,Guard-Forward,1610612746.0
1641878,Damion Baugh,6-4,194.0,CHA,Guard,1610612766.0
203078,Bradley Beal,6-4,207.0,LAC,Guard,1610612746.0
1627736,Malik Beasley,6-4,187.0,DET,Guard,1610612765.0
1630699,MarJon Beauchamp,6-7,199.0,NYK,Forward,1610612752.0
1641736,Reece Beekman,6-3,190.0,BKN,Guard,1610612751.0
1630180,Saddiq Bey,6-7,215.0,NOP,Guard-Forward,1610612740.0
1629048,Goga Bitadze,6-10,250.0,ORL,Center-Forward,1610612753.0
202687,Bismack Biyombo,6-8,255.0,SAS,Center,1610612759.0
1641710,Anthony Black,6-7,200.0,ORL,Guard,1610612753.0
203992,Bogdan Bogdanović,6-5,225.0,LAC,Guard,1610612746.0
1629626,Bol Bol,7-3,220.0,PHX,Center-Forward,1610612756.0
1641737,Adem Bona,6-10,235.0,PHI,Forward,1610612755.0
1626164,Devin Booker,6-6,206.0,PHX,Guard,1610612756.0
1630527,Brandon Boston,6-6,188.0,NOP,Guard,1610612740.0
1628449,Chris Boucher,6-9,200.0,BOS,Forward,1610612738.0
1631123,Jamaree Bouyea,6-2,180.0,MIL,Guard,1610612749.0
1628396,Tony Bradley,6-11,248.0,IND,Center-Forward,1610612754.0
1631103,Malaki Branham,6-4,180.0,WAS,Forward,1610612764.0
1631128,Christian Braun,6-6,220.0,DEN,Guard,1610612743.0
1641779,Jalen Bridges,6-8,225.0,PHX,Forward,1610612756.0
1628969,Mikal Bridges,6-6,209.0,NYK,Guard-Forward,1610612752.0
1628970,Miles Bridges,6-7,225.0,CHA,Forward,1610612766.0
1629052,Oshae Brissett,6-7,210.0,,Forward-Guard,
1627763,Malcolm Brogdon,6-4,229.0,WAS,Guard,1610612764.0
1628415,Dillon Brooks,6-6,225.0,PHX,Guard-Forward,1610612756.0
1631232,Keion Brooks Jr.,6-7,210.0,NOP,Forward,1610612740.0
1628971,Bruce Brown,6-4,202.0,DEN,Guard-Forward,1610612743.0
1627759,Jaylen Brown,6-6,223.0,BOS,Guard-Forward,1610612738.0
1641738,Kobe Brown,6-7,250.0,LAC,Forward,1610612746.0
1629650,Moses Brown,7-2,258.0,,Center,
1628973,Jalen Brunson,6-2,190.0,NYK,Guard,1610612752.0
1628418,Thomas Bryant,6-10,248.0,IND,Center-Forward,1610612754.0
1641723,Kobe Bufkin,6-4,195.0,ATL,Guard,1610612737.0
202692,Alec Burks,6-5,214.0,MIA,Guard,1610612748.0
1630215,Jared Butler,6-3,193.0,PHX,Guard,1610612756.0
202710,Jimmy Butler III,6-7,230.0,GSW,Forward,1610612744.0
1641824,Matas Buzelis,6-10,209.0,CHI,Forward,1610612741.0
1631288,Jamal Cain,6-6,191.0,ORL,Forward,1610612753.0
203484,Kentavious Caldwell-Pope,6-5,204.0,MEM,Guard,1610612763.0
1641739,Toumani Camara,6-7,229.0,POR,Forward,1610612757.0
203991,Clint Capela,6-10,256.0,HOU,Center,1610612745.0
1642382,Branden Carlson,7-0,220.0,OKC,Center,1610612760.0
1642267,Bub Carrington,6-4,190.0,WAS,Guard,1610612764.0
1642269,Devin Carter,6-2,195.0,SAC,Guard,1610612758.0
1628975,Jevon Carter,6-1,200.0,CHI,Guard,1610612741.0
1628976,Wendell Carter Jr.,6-10,270.0,ORL,Center-Forward,1610612753.0
1630618,D.J. Carton,6-3,200.0,,Guard,
1627936,Alex Caruso,6-5,186.0,OKC,Guard,1610612760.0
1642264,Stephon Castle,6-6,215.0,SAS,Guard,1610612759.0
1630658,Colin Castleton,6-10,250.0,TOR,Center,1610612761.0
1630577,Julian Champagnie,6-7,217.0,SAS,Forward,1610612759.0
1630551,Justin Champagnie,6-6,206.0,WAS,Guard-Forward,1610612764.0
1642279,Ulrich Chomche,6-11,235.0,TOR,Center,1610612761.0
1642353,Cam Christie,6-6,190.0,LAC,Guard,1610612746.0
1631108,Max Christie,6-5,190.0,DAL,Guard,1610612742.0
1630528,Josh Christopher,6-4,215.0,MIA,Guard,1610612748.0
1631321,Sidy Cissoko,6-6,200.0,POR,Guard,1610612757.0
1641740,Jaylen Clark,6-4,205.0,MIN,Guard,1610612750.0
1629634,Brandon Clarke,6-8,215.0,MEM,Forward,1610612763.0
203903,Jordan Clarkson,6-3,194.0,NYK,Guard,1610612752.0
