team_id,name,city,conference,division
1610612737,Atlanta Hawks,Atlanta,East,Southeast
1610612738,Boston Celtics,Boston,East,Atlantic
1610612739,Cleveland Cavaliers,Cleveland,East,Central
1610612740,New Orleans Pelicans,New Orleans,West,Southwest
1610612741,Chicago Bulls,Chicago,East,Central
1610612742,Dallas Mavericks,Dallas,West,Southwest
1610612743,Denver Nuggets,Denver,West,Northwest
1610612744,Golden State Warriors,Golden State,West,Pacific
1610612745,Houston Rockets,Houston,West,Southwest
1610612746,Los Angeles Clippers,Los Angeles,West,Pacific
1610612747,Los Angeles Lakers,Los Angeles,West,Pacific
1610612748,Miami Heat,Miami,East,Southeast
1610612749,Milwaukee Bucks,Milwaukee,East,Central
1610612750,Minnesota Timberwolves,Minnesota,West,Northwest
1610612751,Brooklyn Nets,Brooklyn,East,Atlantic
1610612752,New York Knicks,New York,East,Atlantic
1610612753,Orlando Magic,Orlando,East,Southeast
1610612754,Indiana Pacers,Indiana,East,Central
1610612755,Philadelphia 76ers,Philadelphia,East,Atlantic
1610612756,Phoenix Suns,Phoenix,West,Pacific
1610612757,Portland Trail Blazers,Portland,West,Northwest
1610612758,Sacramento Kings,Sacramento,West,Pacific
1610612759,San Antonio Spurs,San Antonio,West,Southwest
1610612760,Oklahoma City Thunder,Oklahoma City,West,Northwest
1610612761,Toronto Raptors,Toronto,East,Atlantic
1610612762,Utah Jazz,Utah,West,Northwest
1610612763,Memphis Grizzlies,Memphis,West,Southwest
1610612764,Washington Wizards,Washington,East,Southeast
1610612765,Detroit Pistons,Detroit,East,Central
1610612766,Charlotte Hornets,Charlotte,East,Southeast
